jurisdiction;country;publisher;count;sourceDomain;publisherAbreviation;match;measure value;codelistOrganisationRegistrationAgencyKey;registryCode;registryName;countryCode;country_1;registryWebsite;publicDatabase;iatiUsageRules
bs;Bahamas;Registrar General's Department of the Bahamas;165,550;http://rgd.bahamas.gov.bs:8081;RGSDOTB;Registrar General, Department of Justice;13;32;MW-RG;Registrar General, Department of Justice;MW;Malawi;;N;
ca;Canada;Corporations Canada;695,493;https://www.ic.gc.ca;CC;Companies House;12;10;GB-COH;Companies House;GB;United Kingdom;http://www.companieshouse.gov.uk/;Y;
ca_nb;New Brunswick (Canada);New Brunswick Corporate Affairs Registry Database;165,130;https://www.pxw2.snb.ca;NBCARD;Isle of Man Companies Registry;33;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
ca_nl;Newfoundland and Labrador (Canada);Government of Newfoundland & Labrador Registry of Companies;84,504;https://cado.eservices.gov.nl.ca;GONLROC;Non Governmental Organisation Registration Board;36;47;ZM-NRB;Non Governmental Organisation Registration Board;ZM;Zambia;;N;Added by WR 15/10/13. Only just set up in Spring 2013 and is currently facing a lot of objection
ca_ns;Nova Scotia (Canada);Nova Scotia Registry of Joint Stock Companies;142,245;https://rjsc.gov.ns.ca;NSROJSC;Registar of Companies;26;25;KE-RCO;Registar of Companies;KE;Kenya;http://www.attorney-general.go.ke/;N;
ca_pe;Prince Edward Island (Canada);Prince Edward Island Corporate/Business Names Registry;28,089;http://www.gov.pe.ca;PEICBNR;Afghanistan Central Business Registry;28;1;AF-CBR;Afghanistan Central Business Registry;AF;Afghanistan;http://acbr.gov.af/;N;Website not yet searchable 
ca_qc;Quebec (Canada);Quebec Registraire des entreprises;1,828,326;http://www.registreentreprises.gouv.qc.ca;QRDE;Registrar of Societies;19;26;KE-RSO;Registrar of Societies;KE;Kenya;http://www.attorney-general.go.ke/;N;
cy;Cyprus;Cyprus Department of Registrar of Companies and Official Receiver;346,492;http://www.drcor.mcit.gov.cy;CDOROCAOR;;;;;;;;;;
dk;Denmark;Det centrale virksomhedsregister;665,304;http://www.cvr.dk;DCV;Australian Business Register;18;3;AU-ABN;Australian Business Register;AU;Australia;http://abr.business.gov.au/;Y;
do;Dominican Republic;Oficina Nacional de la Propiedad Industrial;369,991;https://www.onapi.gob.do;ONDLPI;Registration Services Bureau;30;39;UG-RSB;Registration Services Bureau;UG;Uganda;http://www.ursb.go.ug/;N;
es;Spain;Spanish Mercantile Registry;2,643,019;https://www.registradores.org;SMR;Scottish Charity Register;14;14;GB-SC;Scottish Charity Register;GB;United Kingdom;http://www.oscr.org.uk/;Y;
fi;Finland;Finnish Business Information System;455,799;http://www.ytj.fi;FBIS;Irish CompaniesRegistration Office;22;21;IE-CRO;Irish CompaniesRegistration Office;IE;Ireland;http://www.cro.ie/;Y;
gb;United Kingdom;UK Companies House;8,676,591;http://xmlgw.companieshouse.gov.uk;UCH;Companies House;3;10;GB-COH;Companies House;GB;United Kingdom;http://www.companieshouse.gov.uk/;Y;
gi;Gibraltar;Companies House Gibraltar;104,852;http://www.companieshouse.gi;CHG;Companies House;10;10;GB-COH;Companies House;GB;United Kingdom;http://www.companieshouse.gov.uk/;Y;
gl;Greenland;Det grønlandske erhvervsregister;8,995;http://soeg.ger.gl;DGE;Australian Business Register;20;3;AU-ABN;Australian Business Register;AU;Australia;http://abr.business.gov.au/;Y;
hk;Hong Kong;Hong Kong Companies Registry;1,883,055;http://www.icris.cr.gov.hk;HKCR;Isle of Man Companies Registry;10;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
hr;Croatia;Croatian Chamber of Commerce;179,591;http://www1.biznet.hr;CCOC;Registar of Companies;17;25;KE-RCO;Registar of Companies;KE;Kenya;http://www.attorney-general.go.ke/;N;
ie;Ireland;Ireland Companies Registration Office;550,046;https://services.cro.ie;ICRO;Irish CompaniesRegistration Office;6;21;IE-CRO;Irish CompaniesRegistration Office;IE;Ireland;http://www.cro.ie/;Y;
im;Isle of Man;Isle of Man Companies Registry;146,079;http://portal.gov.im;IOMCR;Isle of Man Companies Registry;0;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
in;India;India Ministry of Corporate Affairs;1,472,078;http://www.mca.gov.in;IMOCA;Ministry of Foreign Affairs;13;7;ET-MFA;Ministry of Foreign Affairs;ET;Ethiopia;http://www.mfa.gov.et/;N;Charities are registered but no openly searchable database yet available. 
is;Iceland;The Icelandic Tax Office (RSK);144,756;http://www.rsk.is;TITOR;Company Registrar Office;21;35;NP-CRO;Company Registrar Office;NP;Nepal;http://www.cro.gov.np/;;
je;Jersey;Jersey Financial Services Commission;115,301;https://www.jerseyfsc.org;JFSC;Charity Commission;21;9;GB-CHC;Charity Commission;GB;United Kingdom;http://www.charity-commission.gov.uk/;Y;
jm;Jamaica;Companies Office of Jamaica;87,665;http://www.orcjamaica.com;COOJ;Company Registrar Office;16;35;NP-CRO;Company Registrar Office;NP;Nepal;http://www.cro.gov.np/;;
li;Liechtenstein;Liechtensteinische Landesverwaltung;132,510;http://www.oera.li;LL;HM Revenue and Customs;26;13;GB-REV;HM Revenue and Customs;GB;United Kingdom;http://www.hmrc.gov.uk/;N;
lu;Luxembourg;Registre de Commerce et des Sociétés (Luxembourg);179,875;https://www.rcsl.lu;RDCEDSL;Registration Services Bureau;33;39;UG-RSB;Registration Services Bureau;UG;Uganda;http://www.ursb.go.ug/;N;
lv;Latvia;Latvia Database of enterprises;353,352;http://dati.ur.gov.lv;LDOE;Registar of Companies;20;25;KE-RCO;Registar of Companies;KE;Kenya;http://www.attorney-general.go.ke/;N;
me;Montenegro;Montenegro Central Registry of Business Entities;69,401;http://www.crps.me;MCROBE;Afghanistan Central Business Registry;29;1;AF-CBR;Afghanistan Central Business Registry;AF;Afghanistan;http://acbr.gov.af/;N;Website not yet searchable 
mm;Myanmar;Myanamar Directorate of Investment and Company Administration;42,064;http://dica.x-aas.net;MDOIACA;Lesotho Council of Non Governmental Organisations;40;27;LS-LCN;Lesotho Council of Non Governmental Organisations;LS;Lesotho;http://www.lcn.org.ls/;N;
mt;Malta;The Malta Financial Services Authority;56,683;http://rocsupport.mfsa.com.mt;TMFSA;Malawi Revenue Authority;20;30;MW-MRA;Malawi Revenue Authority;MW;Malawi;http://www.mra.mw/;N;
mu;Mauritius;Mauritius Ministry of Finance & Economic Developement, Companies Division;132,603;https://mns-portal.intnet.mu;MMOFEDCD;;;;;;;;;;
mx;Mexico;Sistema de Información Empresarial Mexicano;994,166;http://www.siem.gob.mx;SDIEM;Isle of Man Companies Registry;28;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
nl;Netherlands;OpenKVK.nl;2,497,253;http://www.openkvk.nl;ON;Companies House;12;10;GB-COH;Companies House;GB;United Kingdom;http://www.companieshouse.gov.uk/;Y;
no;Norway;Brønnøysundregistrene;745,042;http://w2.brreg.no;B;Brønnøysundregistrene;0;34;NO-BRC;Brønnøysundregistrene;NO;Norway;http://www.brreg.no/;Y;
nz;New Zealand;New Zealand Companies Office;1,146,950;http://www.business.govt.nz;NZCO;Isle of Man Companies Registry;16;22;IM-CR;Isle of Man Companies Registry;IM;Isle of Man;http://www.gov.im/ded/companies/companiesregistry.xml?menuid=21615;Y;
